Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2022-08-08,21.7,40.1,17.5,354.7
2022-08-09,20.6,41.3,20.5,151.5
2022-08-10,21.8,47.6,9.6,171.7
2022-08-11,24,43.8,16.2,327.8
2022-08-12,22.9,46.2,9.3,127.1
2022-08-13,22.5,42.2,10.8,267
2022-08-14,20.6,44.1,11.9,127.6
2022-08-15,19.6,52.5,10.9,359
2022-08-16,21,50.7,9,318.3
2022-08-17,20.2,56,,
2022-08-18,22,47.2,11.3,111.8
2022-08-19,23.6,39,18.1,163.2
2022-08-20,21.1,50.6,10.1,5.7
2022-08-21,19.1,68.4,13.8,338.4
2022-08-22,19.7,72.4,6,40.1
2022-08-23,16.5,80.2,8.5,346.3
2022-08-24,18.4,71.2,7.5,248.9
2022-08-25,17.6,68.4,10.5,148.9
2022-08-26,19.3,60.3,12.8,272.9
2022-08-27,14.7,70.8,18.3,309.5
2022-08-28,16.4,44.2,13.7,304.5
2022-08-29,19.2,43.7,11.1,263
2022-08-30,22.7,44.5,7.4,193.5
2022-08-31,23.8,41,7.3,244.3
2022-09-01,20.9,41,11.7,36.9
2022-09-02,20.4,45.4,13.8,191.9
2022-09-03,21.9,41.8,8.7,199.6
2022-09-04,25.5,27,12.8,276.3
2022-09-05,17.3,44.3,19.7,1.1
2022-09-06,15,49.8,15.4,143.7
2022-09-07,17.2,50.6,14.2,320.6
2022-09-08,11.8,54.3,11.9,336.3
2022-09-09,11,57.7,13.3,297.5
2022-09-10,15.1,44.9,8.3,211.4
2022-09-11,20,30.8,10.8,254.5
2022-09-12,15.5,49.6,17.5,243.2
2022-09-13,15.2,60.5,10.9,16.9
2022-09-14,15.3,56.8,11.5,7.7
2022-09-15,15,53.5,8.7,260.3
2022-09-16,14.8,50.5,6.7,187
2022-09-17,12.5,47.6,12,39.5
